Subfamily,Genus,Species,Binomial
Myrmicinae,Anergates,atratulus,Anergates atratulus
Myrmicinae,Aphaenogaster,gibbosa,Aphaenogaster gibbosa
Myrmicinae,Aphaenogaster,italica,Aphaenogaster italica
Myrmicinae,Aphaenogaster,subterranea,Aphaenogaster subterranea
Dolichoderinae,Bothriomyrmex,gallicus,Bothriomyrmex gallicus
Dolichoderinae,Bothriomyrmex,menozzii,Bothriomyrmex menozzii
Formicinae,Camponotus,aethiops,Camponotus aethiops
Formicinae,Camponotus,dalmaticus,Camponotus dalmaticus
Formicinae,Camponotus,fallax,Camponotus fallax
Formicinae,Camponotus,herculeanus,Camponotus herculeanus
Formicinae,Camponotus,lateralis,Camponotus lateralis
Formicinae,Camponotus,ligniperda,Camponotus ligniperda
Formicinae,Camponotus,piceus,Camponotus piceus
Formicinae,Camponotus,truncatus,Camponotus truncatus
Formicinae,Camponotus,universitatis,Camponotus universitatis
Formicinae,Camponotus,vagus,Camponotus vagus
Myrmicinae,Chalaepoxenus,muelleriana,Chalaepoxenus muelleriana
Myrmicinae,Crematogaster,scutellaris,Crematogaster scutellaris
Myrmicinae,Crematogaster,sordidula,Crematogaster sordidula
Dolichoderinae,Dolichoderus,quadripunctatus,Dolichoderus quadripunctatus
Myrmicinae,Epitritus,argiolus,Epitritus argiolus
Formicinae,Formica,aquilonia,Formica aquilonia
Formicinae,Formica,bruni,Formica bruni
Formicinae,Formica,cinerea,Formica cinerea
Formicinae,Formica,cunicularia,Formica cunicularia
Formicinae,Formica,exsecta,Formica exsecta
Formicinae,Formica,foreli,Formica foreli
Formicinae,Formica,forsslundi,Formica forsslundi
Formicinae,Formica,fusca,Formica fusca
Formicinae,Formica,fuscocinerea,Formica fuscocinerea
Formicinae,Formica,gagates,Formica gagates
Formicinae,Formica,lemani,Formica lemani
Formicinae,Formica,lugubris,Formica lugubris
Formicinae,Formica,lusatica,Formica lusatica
Formicinae,Formica,paralugubris,Formica paralugubris
Formicinae,Formica,picea,Formica picea
Formicinae,Formica,polyctena,Formica polyctena
Formicinae,Formica,pratensis,Formica pratensis
Formicinae,Formica,pressilabris,Formica pressilabris
Formicinae,Formica,rufa,Formica rufa
Formicinae,Formica,rufibarbis,Formica rufibarbis
Formicinae,Formica,sanguinea,Formica sanguinea
Formicinae,Formica,selysi,Formica selysi
Formicinae,Formica,truncorum,Formica truncorum
Formicinae,Formica,uralensis,Formica uralensis
Myrmicinae,Formicoxenus,nitidulus,Formicoxenus nitidulus
Myrmicinae,Harpagoxenus,sublaevis,Harpagoxenus sublaevis
Ponerinae,Hypoponera,eduardi,Hypoponera eduardi
Ponerinae,Hypoponera,punctatissima,Hypoponera punctatissima
Formicinae,Lasius,alienus,Lasius alienus
Formicinae,Lasius,bicornis,Lasius bicornis
Formicinae,Lasius,brunneus,Lasius brunneus
Formicinae,Lasius,carniolicus,Lasius carniolicus
Formicinae,Lasius,citrinus,Lasius citrinus
