SPECIESID,TubeNo,img,Trait,Value
Lasi_fuli,16481,dor1,HindFemur,7.917972944914319
Lasi_fuli,16481,dor1,MesosomaLength,8.002609001325073
Lasi_fuli,16481,dor1,MesosomaWidth,7.9781501213491435
Lasi_fuli,16481,dor1,MidFemur,7.9836305757654635
Lasi_fuli,19713,fro1,ScapeLength,-2.760836930961289
Lasi_fuli,19713,lat3,WebersLength,2.6066312690925666
Lasi_fuli,2027,lat2,HindTibia,-4.971829168441231
Lasi_fuli,2293,lat3,WebersLength,2.7020177734690183
Lasi_fuli,3617,fro4,ScapeLength,2.687004795877712
Lasi_fuli,4823,lat2,MidTibia,2.689101057480413
Lasi_nige,9990179B,lat1,WebersLength,3.5634866018320417
Lasi_plat,16764,lat2,MidTibia,-2.9608579198987557
Lasi_plat,17431,dor1,HindFemur,2.770470763435105
Lasi_plat,9991745,fro3,HeadWidth,-2.7366732987853624
Lasi_plat,9991745,fro3,InterocularDistance,-2.5978226404099316
Lasi_plat,9991745,fro3,ScapeLength,-2.8700577791227153
Lasi_plat,9991745,lat3,HindTibia,-2.776113296211396
Lasi_plat,9991745,lat3,WebersLength,-2.8040574930083935
Lept_acer,6931,lat1,HindTibia,2.9778950207700117
Lept_acer,9990190,dor1,HindFemur,-3.038329694220458
Lept_acer,9990190,dor2,MesosomaLength,-2.8751886435501177
Lept_acer,9990190,dor2,MesosomaWidth,-2.8112921440555376
Lept_acer,9990190,dor2,MidFemur,-2.644282016551105
Lept_acer,9990190,dor3,HindFemur,-2.6617626880169927
Lept_acer,9990190,dor3,MesosomaLength,-3.0699392148034055
Lept_acer,9990190,dor3,MidFemur,-2.6252462604486095
Lept_acer,9990190,dor4,HindFemur,-2.772797145769884
Lept_acer,9990190,dor4,MesosomaLength,-3.140208088401088
Lept_acer,9990190,dor4,MesosomaWidth,-3.3197914619748703
Lept_acer,9990190,fro1,HeadLength,-2.9730391815763744
Lept_acer,9990190,fro1,HeadWidth,-3.04588192861772
Lept_acer,9990190,fro1,InterocularDistance,-2.867080586558398
Lept_acer,9990190,fro1,ScapeLength,-2.978095253122601
