Visibility,Traits ID,Genus,Species,Invasive To Political Region1,Morphospecies,Contributor,Latitude,Longitude,Caste,N,Head width across eyes (mm),Head length (mm),Clypeus length (mm),Mandible length (mm),Hind femur length (mm),Scape length (mm),Weber's length (mm),Pronotum width (mm),Inter-ocular width (mm),Max eye width (mm),Whole body length (mm),Sculpturing,Pilosity (#),Number of Spines (#),Dominant colour head (Fig. 16),Dominant colour mesosoma (Fig. 16),Dominant colour gaster (Fig. 16),Polymorphism,Queen number,Worker number (#),Colony type,Colony founding,Nest Site,Activity,Diet,Notes,Political Region1,Continent,username,Date Of Upload,Batch,Batch Name
Public,Andersen&Hoffmann_2011_traits_0,Pheidologeton,affinis,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,0.623076924,0.66923077,0.138461539,0.36923077,0.646153847,0.576923078,0.876923078,0.398076923,0.576923078,0.028846154,,2,7,2,19,19,8,Dimorphic (2),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_1,Pheidologeton,affinis,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,0.646153847,0.692307693,0.161538462,0.346153847,0.692307693,0.507692308,0.900000001,0.415384616,0.600000001,0.034615385,,2,9,2,19,19,8,Dimorphic (2),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_2,Pheidologeton,affinis,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,0.600000001,0.646153847,0.138461539,0.351923077,0.66923077,0.473076924,0.830769232,0.363461539,0.553846154,0.034615385,,2,5,2,17,17,8,Dimorphic (2),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_3,Pheidologeton,affinis,Unknown,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,0.611538462,0.657692308,0.138461539,0.36923077,0.623076924,0.530769231,0.761538462,0.392307693,0.576923078,0.028846154,,2,7,2,20,20,8,Dimorphic (2),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_4,Rhytidoponera,aurata,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,2.078571428,2.228571428,0.685714286,1.285714286,3.599999999,2.571428571,3.449999999,1.392857143,1.542857143,0.378,,2,1,0,22,22,22,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_5,Rhytidoponera,aurata,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.907142857,2.057142857,0.6,1.2,3.214285714,2.271428571,3.042857142,1.285714286,1.371428571,0.357,,2,0,0,22,22,22,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_6,Rhytidoponera,aurata,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,2.1,2.228571428,0.707142857,1.371428571,3.664285714,2.485714285,3.514285714,1.457142857,1.521428571,0.378,,2,0,0,22,22,22,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_7,Rhytidoponera,aurata,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,2.142857143,2.228571428,0.685714286,1.328571428,3.771428571,2.657142857,3.428571428,1.457142857,1.542857143,0.42,,2,0,0,22,22,22,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_8,Rhytidoponera,borealis,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.008,1.008,0.3885,0.63,1.092,0.882,1.512,0.798,0.756,0.184615385,,2.5,15,0,22,22,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_9,Rhytidoponera,borealis,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.0815,1.05,0.42,0.588,1.134,0.966,1.491,0.861,0.8085,0.196153846,,2.5,24,0,22,22,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_10,Rhytidoponera,borealis,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.008,1.029,0.399,0.588,1.134,0.966,1.491,0.798,0.756,0.184615385,,2.5,18,0,21,21,24,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_11,Rhytidoponera,borealis,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.008,1.008,0.42,0.609,1.113,0.924,1.407,0.819,0.7875,0.190384616,,2.5,25,0,22,22,22,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_12,Polyrhachis,creusa,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.953,2.058,0.462,0.84,2.226,2.016,3.024,1.554,1.386,0.378,,2,0,4,1,1,1,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_13,Polyrhachis,creusa,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.932,1.974,0.378,0.882,2.142,2.016,2.73,1.533,1.365,0.3675,,2,0,4,1,1,1,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_14,Polyrhachis,creusa,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.722,1.764,0.441,0.7875,1.9425,1.848,2.478,1.386,1.197,0.3045,,2,0,4,1,1,1,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_15,Polyrhachis,creusa,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Worker,1,1.722,1.764,0.42,0.798,1.974,1.827,2.436,1.4175,1.218,0.336,,2,0,4,1,1,1,Monomorphic (1),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_16,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Major,1,2.31,2.604,0.798,1.155,2.478,2.016,3.192,1.386,1.218,0.484615385,,1.5,19,0,20,19,23,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_17,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Major,1,,3.108,,,,,,,,,,,,,,,,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_18,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,1.239,1.827,0.504,0.798,2.898,2.478,3.108,1.05,0.714,0.438461539,,1.5,16,0,20,19,23,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_19,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,1.05,1.428,0.42,0.672,2.226,2.016,2.436,0.84,0.609,0.392307693,,1.5,13,0,20,19,23,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_20,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,1.365,2.058,0.441,1.092,2.709,2.394,3.108,1.197,0.819,0.45,,1.5,17,0,20,19,23,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_21,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,,1.806,,,,,,,,,,,,,,,,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_22,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,,1.554,,,,,,,,,,,,,,,,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
Public,Andersen&Hoffmann_2011_traits_23,Camponotus,crozieri,Native*,FALSE,"Gibb, Heloise",-12.7,130.983,Minor,1,,1.932,,,,,,,,,,,,,,,,Polymorphic (3),,,,,,,,,,,bgrossman,22.02.17,136,Traits_1_February 2017
