BAGNUMBER,TubeNo,SPECIESID,source,mnt25,elBin,Genus,Pinned,
NA,784,Apha_subt,p,511,500,Apha,,
NA,3457,Apha_subt,p,473.6,400,Apha,,
NA,4272,Apha_subt,p,414,400,Apha,,
NA,5747,Apha_subt,p,622.8,600,Apha,,
NA,5753,Apha_subt,p,622.8,600,Apha,,
NA,10133,Apha_subt,p,405.6,400,Apha,,
NA,12255,Apha_subt,p,469.7,400,Apha,,
NA,12394,Apha_subt,p,415.9,400,Apha,,
NA,12647,Apha_subt,p,524.1,500,Apha,,
NA,15939,Apha_subt,p,410.5,400,Apha,,
NA,16270,Apha_subt,p,496.2,400,Apha,,
NA,17094,Apha_subt,p,429.5,400,Apha,,
NA,17209,Apha_subt,p,429.5,400,Apha,,
NA,17266,Apha_subt,p,638.8,600,Apha,,
NA,19904,Apha_subt,p,501.9,500,Apha,,
NA,12388C,Apha_subt,p,394.7,300,Apha,,
NA,7669C,Apha_subt,p,416.6,400,Apha,,
NA,9844B,Apha_subt,p,659.4,600,Apha,,
NA,5988,Camp_aeth,p,429.5,400,Camp,,
NA,1212,Camp_fall,p,369,300,Camp,,
NA,2205,Camp_fall,p,410.6,400,Camp,,
NA,7239,Camp_fall,p,421.1,400,Camp,,
NA,9391,Camp_fall,p,425.4,400,Camp,,
NA,10152,Camp_fall,p,383.5,300,Camp,,
NA,10441,Camp_fall,p,434.4,400,Camp,,
NA,10715,Camp_fall,p,383.5,300,Camp,,
NA,12277,Camp_fall,p,427.8,400,Camp,,
NA,13585,Camp_fall,p,379.8,300,Camp,,
NA,18095,Camp_fall,p,458.9,400,Camp,,
NA,18253,Camp_fall,p,445.3,400,Camp,,
NA,18504,Camp_fall,p,402.7,400,Camp,,
NA,12682B,Camp_fall,p,376,300,Camp,,
NA,15296D,Camp_fall,p,383,300,Camp,,
NA,18693D,Camp_fall,p,383,300,Camp,,
NA,6172C,Camp_fall,p,385,300,Camp,,
NA,172,Camp_herc,p,741.6,700,Camp,,
NA,288,Camp_herc,p,1216.2,1200,Camp,,
NA,451,Camp_herc,p,1839.4,1800,Camp,,
NA,2409,Camp_herc,p,665.4,600,Camp,,
NA,3555,Camp_herc,p,1694.5,1600,Camp,,
NA,3560,Camp_herc,p,1694.5,1600,Camp,,
NA,6724,Camp_herc,p,669.3,600,Camp,,
NA,7204,Camp_herc,p,899.3,800,Camp,,
NA,10504,Camp_herc,p,1340.5,1300,Camp,,
NA,10848,Camp_herc,p,873.6,800,Camp,,
NA,12174,Camp_herc,p,1165.9,1100,Camp,,
NA,12621,Camp_herc,p,1244.6,1200,Camp,,
NA,14403,Camp_herc,p,1533.3,1500,Camp,,
NA,15896,Camp_herc,p,1165,1100,Camp,,
NA,15971,Camp_herc,p,751.6,700,Camp,,
NA,16582,Camp_herc,p,689.6,600,Camp,,
NA,17164,Camp_herc,p,726.1,700,Camp,,
NA,18713,Camp_herc,p,1317.2,1300,Camp,,
NA,18745,Camp_herc,p,1326.5,1300,Camp,,
NA,19828,Camp_herc,p,1366.7,1300,Camp,,
NA,17063,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,17066,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,17123,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,17161,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,17471,Camp_herc/lign,p,1323.5,1300,Camp,,
NA,388,Camp_lign,p,1194.6,1100,Camp,,
NA,1178,Camp_lign,p,572.3,500,Camp,,
NA,1193,Camp_lign,p,844.8,800,Camp,,
NA,1716,Camp_lign,p,538.4,500,Camp,,
NA,4341,Camp_lign,p,1222.6,1200,Camp,,
NA,4853,Camp_lign,p,726.2,700,Camp,,
NA,5817,Camp_lign,p,429.5,400,Camp,,
NA,6682,Camp_lign,p,1125.6,1100,Camp,,
NA,6856,Camp_lign,p,1043.6,1000,Camp,,
NA,10844,Camp_lign,p,1153.8,1100,Camp,,
NA,13803,Camp_lign,p,1193.5,1100,Camp,,
NA,15222,Camp_lign,p,973.9,900,Camp,,
NA,15664,Camp_lign,p,1090.2,1000,Camp,,
NA,18936,Camp_lign,p,1096.5,1000,Camp,,
NA,10336B,Camp_lign,p,622.9,600,Camp,,
NA,8864B,Camp_lign,p,450.2,400,Camp,,
NA,3056,Camp_pice,p,458.4,400,Camp,,
NA,5773,Camp_pice,p,429.5,400,Camp,,
NA,5841,Camp_pice,p,429.5,400,Camp,,
NA,5917,Camp_pice,p,429.5,400,Camp,,
NA,5924,Camp_pice,p,429.5,400,Camp,,
NA,5951,Camp_pice,p,429.5,400,Camp,,
NA,5972,Camp_pice,p,429.5,400,Camp,,
NA,16266,Camp_pice,p,508.9,500,Camp,,
NA,17322,Camp_pice,p,1323.5,1300,Camp,,
NA,17338,Camp_pice,p,1323.5,1300,Camp,,
NA,17367,Camp_pice,p,1323.5,1300,Camp,,
NA,17411,Camp_pice,p,1323.5,1300,Camp,,
NA,18987,Camp_pice,p,477.4,400,Camp,,
NA,2090,Colo_trun,p,550.9,500,Colo,,
NA,7483,Colo_trun,p,394.4,300,Colo,,
NA,10446,Colo_trun,p,434.4,400,Colo,,
NA,10764,Colo_trun,p,383.5,300,Colo,,
NA,12068,Colo_trun,p,369,300,Colo,,
NA,12444,Colo_trun,p,401.9,400,Colo,,
NA,13898,Colo_trun,p,617.5,600,Colo,,
NA,16272,Colo_trun,p,498.6,400,Colo,,
NA,16902,Colo_trun,p,434.8,400,Colo,,
NA,17308,Colo_trun,p,632.4,600,Colo,,
NA,18096,Colo_trun,p,458.9,400,Colo,,
NA,18509,Colo_trun,p,450.4,400,Colo,,
NA,11400B,Colo_trun,p,617.5,600,Colo,,
NA,14003B,Colo_trun,p,482.9,400,Colo,,
NA,15037E,Colo_trun,p,434.4,400,Colo,,
NA,16146B,Colo_trun,p,768.7,700,Colo,,
NA,18693C,Colo_trun,p,383,300,Colo,,
