SPECIESID,TubeNo,Worker,Trait
Lasi_nige,9990284,3,MidTibia
Lasi_nige,9990309,2,WebersLength
Lasi_nige,9990358,3,HindFemur
Lasi_nige,9991087,3,MidFemur
Lasi_nige,9991655,3,InterocularDistance
Lasi_nige,9991655,3,WebersLength
Lasi_nige,9991684,2,HindTibia
Lasi_nige,9991752,4,MidFemur
Lasi_nige,9991762,1,MidFemur
Lasi_fuli,9990320,1,MesosomaWidth
Lasi_fuli,9991280,3,MesosomaWidth
Lasi_fuli,9991280,4,HindTibia
Lasi_fuli,9991511,1,HindTibia
Lasi_fuli,9992915,2,HindTibia
Lasi_fuli,9992915,2,MidTibia
Lasi_plat,9990767,1,MidFemur
Lasi_plat,9991115,2,HindFemur
Lasi_plat,9991115,3,HindTibia
Lasi_plat,9991118,3,MidTibia
